h24v06 63.8507 80.8387 20 30
h25v06 74.4924 92.3857 20 30
h26v06 85.1342 103.9327 20 30
h27v06 95.776 115.4797 20 30
h28v06 106.4178 127.0267 20 30
h29v06 117.0596 138.5737 20 30
h30v06 127.7013 150.1207 20 30
h31v06 138.3431 161.6677 20 30
h32v06 148.9849 173.2147 20 30
h33v06 159.6267 180 20 30
h34v06 170.2684 180 20 27.2667
h00v07 -180 -172.6141 10 19.1917
h01v07 -180 -162.4598 10 20
h02v07 -170.2684 -152.3055 10 20
h03v07 -159.6267 -142.1513 10 20
h04v07 -148.9849 -131.997 10 20
h05v07 -138.3431 -121.8427 10 20
h06v07 -127.7013 -111.6885 10 20
h07v07 -117.0596 -101.5342 10 20
h08v07 -106.4178 -91.3799 10 20
h09v07 -95.776 -81.2257 10 20
h10v07 -85.1342 -71.0714 10 20
h11v07 -74.4924 -60.9171 10 20
h12v07 -63.8507 -50.7629 10 20
h13v07 -53.2089 -40.6086 10 20
h14v07 -42.5671 -30.4543 10 20
h15v07 -31.9253 -20.3001 10 20
h16v07 -21.2836 -10.1458 10 20
h17v07 -10.6418 0.0089 10 20
h18v07 0 10.6506 10 20
h19v07 10.1543 21.2924 10 20
h20v07 20.3085 31.9342 10 20
h21v07 30.4628 42.576 10 20
h22v07 40.6171 53.2178 10 20
h23v07 50.7713 63.8595 10 20
h24v07 60.9256 74.5013 10 20
h25v07 71.0799 85.1431 10 20
h26v07 81.2341 95.7849 10 20
h27v07 91.3884 106.4266 10 20
h28v07 101.5427 117.0684 10 20
h29v07 111.6969 127.7102 10 20
h30v07 121.8512 138.352 10 20
h31v07 132.0055 148.9938 10 20
h32v07 142.1597 159.6355 10 20
h33v07 152.314 170.2773 10 20
h34v07 162.4683 180 10 20
h35v07 172.6225 180 10 19.1833
h00v08 -180 -169.9917 0 10
h01v08 -172.6225 -159.9917 0 10
h02v08 -162.4683 -149.9917 0 10
h03v08 -152.314 -139.9917 0 10
h04v08 -142.1597 -129.9917 0 10
h05v08 -132.0055 -119.9917 0 10
h06v08 -121.8512 -109.9917 0 10
h07v08 -111.6969 -99.9917 0 10
h08v08 -101.5427 -89.9917 0 10
h09v08 -91.3884 -79.9917 0 10
h10v08 -81.2341 -69.9917 0 10
h11v08 -71.0799 -59.9917 0 10
h12v08 -60.9256 -49.9917 0 10
h13v08 -50.7713 -39.9917 0 10
h14v08 -40.6171 -29.9917 0 10
h15v08 -30.4628 -19.9917 0 10
h16v08 -20.3085 -9.9917 0 10
h17v08 -10.1543 0.0085 0 10
h18v08 0 10.1627 0 10
h19v08 10 20.317 0 10
h20v08 20 30.4713 0 10
h21v08 30 40.6255 0 10
h22v08 40 50.7798 0 10
h23v08 50 60.9341 0 10
h24v08 60 71.0883 0 10
h25v08 70 81.2426 0 10
h26v08 80 91.3969 0 10
h27v08 90 101.5511 0 10
h28v08 100 111.7054 0 10
h29v08 110 121.8597 0 10
h30v08 120 132.0139 0 10
h31v08 130 142.1682 0 10
h32v08 140 152.3225 0 10
h33v08 150 162.4767 0 10
h34v08 160 172.631 0 10
h35v08 170 180 0 10
h00v09 -180 -169.9917 -10 0
h01v09 -172.6225 -159.9917 -10 0
h02v09 -162.4683 -149.9917 -10 0
h03v09 -152.314 -139.9917 -10 0
h04v09 -142.1597 -129.9917 -10 0
h05v09 -132.0055 -119.9917 -10 0
h06v09 -121.8512 -109.9917 -10 0
h07v09 -111.6969 -99.9917 -10 0
h08v09 -101.5427 -89.9917 -10 0
h09v09 -91.3884 -79.9917 -10 0
h10v09 -81.2341 -69.9917 -10 0
h11v09 -71.0799 -59.9917 -10 0
h12v09 -60.9256 -49.9917 -10 0
h13v09 -50.7713 -39.9917 -10 0
h14v09 -40.6171 -29.9917 -10 0
h15v09 -30.4628 -19.9917 -10 0
h16v09 -20.3085 -9.9917 -10 0
h17v09 -10.1543 0.0085 -10 0
h18v09 0 10.1627 -10 0
h19v09 10 20.317 -10 0
h20v09 20 30.4713 -10 0
h21v09 30 40.6255 -10 0
h22v09 40 50.7798 -10 0
h23v09 50 60.9341 -10 0
h24v09 60 71.0883 -10 0
h25v09 70 81.2426 -10 0
h26v09 80 91.3969 -10 0
h27v09 90 101.5511 -10 0
h28v09 100 111.7054 -10 0
h29v09 110 121.8597 -10 0
h30v09 120 132.0139 -10 0
h31v09 130 142.1682 -10 0
h32v09 140 152.3225 -10 0
h33v09 150 162.4767 -10 0
h34v09 160 172.631 -10 0
h35v09 170 180 -10 0
h00v10 -180 -172.6141 -19.1917 -10
h01v10 -180 -162.4598 -20 -10
h02v10 -170.2684 -152.3055 -20 -10
h03v10 -159.6267 -142.1513 -20 -10
h04v10 -148.9849 -131.997 -20 -10
h05v10 -138.3431 -121.8427 -20 -10
h06v10 -127.7013 -111.6885 -20 -10
h07v10 -117.0596 -101.5342 -20 -10
h08v10 -106.4178 -91.3799 -20 -10
h09v10 -95.776 -81.2257 -20 -10
h10v10 -85.1342 -71.0714 -20 -10
h11v10 -74.4924 -60.9171 -20 -10
h12v10 -63.8507 -50.7629 -20 -10
h13v10 -53.2089 -40.6086 -20 -10
h14v10 -42.5671 -30.4543 -20 -10
h15v10 -31.9253 -20.3001 -20 -10
h16v10 -21.2836 -10.1458 -20 -10
h17v10 -10.6418 0.0089 -20 -10
h18v10 0 10.6506 -20 -10
h19v10 10.1543 21.2924 -20 -10
h20v10 20.3085 31.9342 -20 -10
h21v10 30.4628 42.576 -20 -10
h22v10 40.6171 53.2178 -20 -10
h23v10 50.7713 63.8595 -20 -10
h24v10 60.9256 74.5013 -20 -10
h25v10 71.0799 85.1431 -20 -10
h26v10 81.2341 95.7849 -20 -10
h27v10 91.3884 106.4266 -20 -10
h28v10 101.5427 117.0684 -20 -10
h29v10 111.6969 127.7102 -20 -10
h30v10 121.8512 138.352 -20 -10
h31v10 132.0055 148.9938 -20 -10
h32v10 142.1597 159.6355 -20 -10
h33v10 152.314 170.2773 -20 -10
h34v10 162.4683 180 -20 -10
h35v10 172.6225 180 -19.1833 -10
h01v11 -180 -170.2596 -27.2667 -20
h02v11 -180 -159.6178 -30 -20
h03v11 -173.2051 -148.976 -30 -20
h04v11 -161.6581 -138.3342 -30 -20
h05v11 -150.1111 -127.6925 -30 -20
h06v11 -138.5641 -117.0507 -30 -20
h07v11 -127.0171 -106.4089 -30 -20
h08v11 -115.4701 -95.7671 -30 -20
h09v11 -103.923 -85.1254 -30 -20
h10v11 -92.376 -74.4836 -30 -20
h11v11 -80.829 -63.8418 -30 -20
h12v11 -69.282 -53.2 -30 -20
h13v11 -57.735 -42.5582 -30 -20
h14v11 -46.188 -31.9165 -30 -20
h15v11 -34.641 -21.2747 -30 -20
h16v11 -23.094 -10.6329 -30 -20
h17v11 -11.547 0.0096 -30 -20
h18v11 0 11.5566 -30 -20
h19v11 10.6418 23.1036 -30 -20
h20v11 21.2836 34.6506 -30 -20
h21v11 31.9253 46.1976 -30 -20
h22v11 42.5671 57.7446 -30 -20
h23v11 53.2089 69.2917 -30 -20
h24v11 63.8507 80.8387 -30 -20
h25v11 74.4924 92.3857 -30 -20
h26v11 85.1342 103.9327 -30 -20
h27v11 95.776 115.4797 -30 -20
h28v11 106.4178 127.0267 -30 -20
h29v11 117.0596 138.5737 -30 -20
h30v11 127.7013 150.1207 -30 -20
h31v11 138.3431 161.6677 -30 -20
h32v11 148.9849 173.2147 -30 -20
h33v11 159.6267 180 -30 -20
h34v11 170.2684 180 -27.2667 -20
h02v12 -180 -173.1955 -33.5583 -30
h03v12 -180 -161.6485 -38.95 -30
h04v12 -180 -150.1014 -40 -30
h05v12 -169.7029 -138.5544 -40 -30
